data = """date,income,expenses
2022-01-01,12000,8500
2022-02-01,13500,8700
2022-03-01,12800,9100
2022-04-01,14200,9300
2022-05-01,15500,9600
2022-06-01,14800,9200
2022-07-01,16000,9800
2022-08-01,16500,9700
2022-09-01,15800,9400
2022-10-01,17000,9900
2022-11-01,17500,10100
2022-12-01,18000,10300
2023-01-01,18500,10800
2023-02-01,17800,10500
2023-03-01,19000,10700
2023-04-01,20000,11200
2023-05-01,19500,11000
2023-06-01,21000,11500
2023-07-01,22000,11800
2023-08-01,22500,12000
2023-09-01,23000,12200
2023-10-01,23500,12400
2023-11-01,24000,12500
2023-12-01,24500,12700
2024-01-01,25000,13000
2024-02-01,25500,13200
2024-03-01,26000,13300
2024-04-01,26500,13500
2024-05-01,27000,13600
2024-06-01,27500,13700
2024-07-01,28000,13800
2024-08-01,28500,13900
2024-09-01,29000,14000
2024-10-01,29500,14100
2024-11-01,30000,14200
2024-12-01,30500,14300
"""
